date obs sim event_type event_count hydcase et eq
1979-10-01 0.320523482849604 0.479615830890941 0 0 0 0 0
1979-10-02 0.323145118733509 0.452483820886627 0 0 0 0 0
1979-10-03 0.313570448548813 0.427907497681527 0 0 2 2 -0.418679411498166
1979-10-04 0.309011081794195 0.405536282968575 0 0 -1 1.9 -0.376180280461689
1979-10-05 0.301488126649077 0.385957698497189 0 0 -1 1.8 -0.329122829901705
1979-10-06 0.303311873350924 0.369563617310933 0 0 -1 1.7 -0.272948740294709
1979-10-07 0.305249604221636 0.357277477283967 0 0 -1 1.6 -0.241992703415477
1979-10-08 0.290317678100264 0.344257722533314 0 0 -1 1.5 -0.223645692900128
1979-10-09 0.284960422163588 0.332083919963687 0 0 -1 1.4 -0.205891658559611
1979-10-10 0.277551451187335 0.320415926076975 0 0 -1 1.3 -0.187792671024992
1979-10-11 0.268888654353562 0.309408144543671 0 0 -1 1.2 -0.16900377710217
1979-10-12 0.274131926121372 0.299082381424181 0 0 -1 1.1 -0.146647606773546
1979-10-13 0.264557255936676 0.30366800880601 0 0 -2 1 -0.122507798242021
1979-10-14 0.273562005277045 0.32966472133771 0 0 1 1 0.00444914327672866
1979-10-15 0.440206860158311 0.384561532063724 0 0 1 1 0.131406084795479
1979-10-16 0.428238522427441 0.413831174049849 0 0 1 1 0.154533872502098
1979-10-17 0.435077572559367 0.458161074949667 0 0 1 1 0.0738325063965879
1979-10-18 0.455024802110818 0.455552341688702 0 0 2 1 -0.00686885970892267
1979-10-19 0.413990501319261 0.423477480103209 0 0 -1 0.785714285714287 -0.0756079938125611
1979-10-20 0.354718733509235 0.407529816080598 0 0 -1 0.571428571428572 -0.145172323806321
1979-10-21 0.31414036939314 0.389550067751303 0 0 -1 0.357142857142856 -0.215768148662734
1979-10-22 0.316420052770449 0.373846288350608 0 0 -1 0.142857142857142 -0.198751947638021
1979-10-23 0.298182585751979 0.359803800400691 0 0 -1 -0.0714285714285718 -0.180751383103011
1979-10-24 0.279945118733509 0.347746214040942 0 0 -1 -0.285714285714288 -0.18268509801769
1979-10-25 0.29841055408971 0.336150637247454 0 0 -1 -0.5 -0.143070797179389
1979-10-26 0.287582058047493 0.325301506008524 0 0 -1 -0.714285714285712 -0.116522539906969
1979-10-27 0.247915567282322 0.316720199131654 0 0 -1 -0.928571428571428 -0.177253450868112
1979-10-28 0.268660686015831 0.31173172365686 0 0 -1 -1.14285714285714 -0.149531878505457
1979-10-29 0.277893403693931 0.308556433539426 0 0 -1 -1.35714285714286 -0.0824115459398788
1979-10-30 0.286214248021108 0.302747829249941 0 0 -1 -1.57142857142857 -0.0539110650461033
1979-10-31 0.27618364116095 0.297675073901989 0 0 -1 -1.78571428571429 -0.0575121298544391
1979-11-01 0.265355145118734 0.294098558766028 0 0 -2 -2 -0.0867944312244638
1979-11-02 0.276069656992084 0.289806799673461 0 0 1 -1.83333333333333 -0.0553691930036176
1979-11-03 0.324854881266491 0.289431333552375 0 0 1 -1.66666666666667 -0.729313531036599
1979-11-04 0.27618364116095 0.298611632773573 0 0 1 -1.5 -1.50155785686536
1979-11-05 0.329072295514512 0.882358824210905 0 0 1 -1.33333333333333 -1.5588476147006
1979-11-06 0.809971503957784 2.99802333032765 11 1 1 -1.16666666666667 -0.93399242336554
1979-11-07 6.12699102902375 3.3068705564479 11 1 2 -1 0.411706580831766
