"ID" "XGAUGE" "YGAUGE" "XCENT" "YCENT" "AREA" "River" "Station" "ME_MAX" "igroup.best" "TRAIN"
"197" 15993001 4209850.97283351 2466864.54579456 4538809.12322 2870523.37354 30.84 "Kollbach" "Deggendorf" 0.505154159319701 1 FALSE
"218" 18193001 4158072.14831576 2335654.46774065 4477909.4994 2730250.0012 41.55 "Auerbach" "Bad Trißl" 0.168313567624406 1 FALSE
"182" 13322005 4118472.87316851 2459819.24163833 4435684.29576 2860526.79936 50.04 "Abens" "Aunkofen" -4.29933038129066 1 FALSE
"228" 18662000 4204926.33592292 2357422.32247381 4527733.89171 2751943.66243 53.56 "Sur" "Teisendorf" 0.459155934280968 1 FALSE
"180" 13202003 4075309.96447786 2412164.14887837 4398171.65599 2803345.43741 79.01 "Paar" "Dasing" -0.665362731259431 1 FALSE
"225" 18463004 4169456.78885131 2357519.52838743 4493921.14034 2740781.55197 85.15 "Prien" "Prien" -4.66736756119514 1 FALSE
"296" 25822251 3930431.66383738 2689482.72596698 4247804.45477 3100830.94866 101.9 "Wohra" "GEMUENDEN" 0.615045709240955 1 FALSE
"310" 26560103 3769271.72290363 2549005.03083158 4086042.26492 2949077.35076 102.3 "Ruwer" "HENTERN" 0.701856954835649 1 TRUE
"118" 4928107 3907720.67397004 2908474.16925507 4225663.9959 3310309.375 103 "Delme" "HOLZKAMP" 0.695638509174728 1 FALSE
"84" 575250 4039839.85063479 2741088.88985229 4353957.61319 3151181.59665 104 "Wipper" "BLEICHERODE" 0.740056425373758 1 TRUE
"90" 579605 4073253.97434422 2760979.56900869 4391305.56197 3169875.48114 105 "Selke" "SILBERHUETTE" 0.516692112265586 1 FALSE
"318" 26980700 3820618.93316155 2610237.10894119 4141641.83423 3006558.08081 106 "Kleine Spree" "BURGEN" 0.342294321664958 1 FALSE
"9" 226 3961521.67084951 2544166.24745449 4283446.31249 2941441.12336 108 "Erf" "HARDHEIM" 0.589403396605 1 TRUE
"275" 24960307 3889630.37502879 2601250.54821507 4203458.8081 3008838.65075 109 "Schwarzbach" "EPPSTEIN" 0.76949121409497 1 FALSE
"331" 27425100 3791867.95579586 2660702.57170774 4109179.27227 3059260.01991 109 "Swist" "MORENHOVEN" 0.278811380779233 1 FALSE
"209" 16618008 4081229.94028533 2346007.50458687 4402727.22458 2733019.30836 112.79 "Ach" "Oberhausen" 0.409956704347906 1 FALSE
"316" 26940501 3812235.44374624 2602214.87237918 4128996.65487 2998648.31858 113.1 NA "KLOSTER ENGELPORT" -0.0364646618798662 1 FALSE
"303" 25890102 3852211.05756714 2619888.14318433 4174061.18404 3017335.39424 113.2 "Dürsbach" "KLOSTER ARNSTEI" 0.736242609511232 1 FALSE
"24" 2337 3907094.10095944 2510068.61758854 4230417.28417 2907460.63439 114 "Leimbach" "WIESLOCH" 0.527545571586642 1 FALSE
"163" 6342960 4238545.35652966 2463768.21448377 4561838.50223 2866858.62192 114.21 "Mitternacher Ohe" "EBERHARDSREUTH" 0.70779474294351 1 FALSE
"207" 16610709 4077372.62858706 2327235.25385306 4394589.41101 2716221.15232 114.23 "Ammer" "Oberammergau" 0.636276638809194 1 FALSE
"234" 18825003 4183801.52269045 2419989.94739962 4502765.15196 2816759.77976 114.24 "Bina" "Panzing" 0.354823383483289 1 FALSE
"268" 24780757 3964132.18428213 2619631.40585216 4290020.89186 3025624.82981 116 "Kinzig" "STEINAU" 0.74863942890192 1 FALSE
"75" 572110 4072374.81034655 2645679.33571686 4393893.51325 3047068.80995 123 "Schwarza" "KATZHUETTE" 0.660435230838014 1 TRUE
"270" 24810600 3933136.77073944 2632401.10968074 4258164.76009 3041834.83397 124 "Nidda" "UNTER-SCHMITTEN" 0.767479624985972 1 TRUE
"378" 42813190 3883829.6919253 2699360.2994635 4196640.68191 3100670.0735 124 "Eder" "MUESSE" 0.546760369617368 1 TRUE
"136" 6335725 3872188.11921933 2405826.74836822 4192608.70058 2810257.7933 124.24 "Wolf" "OBERWOLFACH" 0.606432295258514 1 FALSE
"226" 18484503 4191597.24273691 2349393.21118431 4518350.82438 2737309.83268 125.33 "Weiße Traun" "Fritz am Sand" 0.32262570001659 1 FALSE
"158" 6342210 4024045.10218603 2316976.20037261 4350726.24873 2704644.75 125.76 "Osterach" "RECKENBERG" 0.368122948410916 1 FALSE
"227" 18622006 4216842.54121671 2334300.303198 4537481.37491 2723090.53243 128.11 "Ramsauer Ache" "Ilsank" 0.505311298050784 1 FALSE
"298" 25831605 3912665.9063722 2655623.4785895 4241059.63582 3061430.0719 128.9 "Lumda" "LOLLAR" 0.714795985220812 1 TRUE
"112" 4882168 4016952.28900402 2762722.0289683 4348366.08583 3176957.3929 129 "Sieber" "HATTORF" -3.12128816817911 1 FALSE
"262" 24480651 3970698.09148796 2611734.59003132 4284128.46047 3011078.30667 130 "Jossa" "JOSSA" 0.708549098014265 1 TRUE
"379" 42880458 3951527.27391103 2667022.00144651 4271438.22252 3065090.77896 131 "Schwalm" "ALSFELD" 0.41738293490161 1 FALSE
