"date" "event_type" "event_count" "Qduration" "t2pd" "peak" "temp.cv" "Pmax.vol.ratio" "space_cv" "mean_RM_ant" "ant_sm" "space_cv_sm" "cov_SM_RM_ts_mean" "snow.cover.cov" "volumeP" "volumeR" "volumeM" "frozen.cover.cov"
"1" 1979-10-01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 1979-10-02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 1979-10-03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 1979-10-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 1979-10-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 1979-10-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 1979-10-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 1979-10-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 1979-10-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 1979-10-10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 1979-10-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 1979-10-12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 1979-10-13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 1979-10-14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 1979-10-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 1979-10-16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" 1979-10-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" 1979-10-18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" 1979-10-19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" 1979-10-20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" 1979-10-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
