date obs sim event_type event_count hydcase et eq
1979-10-01 0.320523482849604 0.539236515439376 0 0 0 0 0
1979-10-02 0.323145118733509 0.528182674256602 0 0 0 0 0
1979-10-03 0.313570448548813 0.516353776813651 0 0 2 2 -0.529231294817823
1979-10-04 0.309011081794195 0.504010307785809 0 0 -1 1.82758620689655 -0.522766293709676
1979-10-05 0.301488126649077 0.491476797026925 0 0 -1 1.6551724137931 -0.508840322502998
1979-10-06 0.303311873350924 0.478939188038676 0 0 -1 1.48275862068966 -0.483189969712918
1979-10-07 0.305249604221636 0.466540029636169 0 0 -1 1.31034482758621 -0.471912754735858
1979-10-08 0.290317678100264 0.454371881133118 0 0 -1 1.13793103448276 -0.464850065813112
1979-10-09 0.284960422163588 0.442489920776884 0 0 -1 0.96551724137931 -0.458326953143334
1979-10-10 0.277551451187335 0.43092373814054 0 0 -1 0.793103448275862 -0.453903447970811
1979-10-11 0.268888654353562 0.419687074256278 0 0 -1 0.620689655172413 -0.451159628796092
1979-10-12 0.274131926121372 0.408796860571492 0 0 -1 0.448275862068965 -0.427757745933688
1979-10-13 0.264557255936676 0.401618161802981 0 0 -1 0.275862068965517 -0.369705034809313
1979-10-14 0.273562005277045 0.395702627132418 0 0 -1 0.10344827586207 -0.244781027594846
1979-10-15 0.440206860158311 0.392240582578618 0 0 -1 -0.068965517241378 -0.0731240273863229
1979-10-16 0.428238522427441 0.390585186498054 0 0 -1 -0.241379310344827 0.0983516245325207
1979-10-17 0.435077572559367 0.389267714168216 0 0 -1 -0.413793103448276 0.124582665536839
1979-10-18 0.455024802110818 0.387715926828466 0 0 -1 -0.586206896551724 0.113883145148334
1979-10-19 0.413990501319261 0.385663504151949 0 0 -1 -0.758620689655173 0.0662530633670076
1979-10-20 0.354718733509235 0.383008644617961 0 0 -1 -0.931034482758622 -0.053339834647281
1979-10-21 0.31414036939314 0.379738316745343 0 0 -1 -1.10344827586207 -0.15046315740695
1979-10-22 0.316420052770449 0.375887031241275 0 0 -1 -1.27586206896552 -0.165777669228895
1979-10-23 0.298182585751979 0.371525364360461 0 0 -1 -1.44827586206897 -0.200568194244338
1979-10-24 0.279945118733509 0.366728035575871 0 0 -1 -1.62068965517242 -0.240324945624816
1979-10-25 0.29841055408971 0.361567383920946 0 0 -1 -1.79310344827586 -0.198961433066145
1979-10-26 0.287582058047493 0.356111506291591 0 0 -1 -1.96551724137931 -0.209410910401793
1979-10-27 0.247915567282322 0.3510714338071 0 0 -1 -2.13793103448276 -0.284626625105339
1979-10-28 0.268660686015831 0.345995229310625 0 0 -1 -2.3103448275862 -0.235343629108634
1979-10-29 0.277893403693931 0.340814268968679 0 0 -1 -2.48275862068965 -0.170559755092088
1979-10-30 0.286214248021108 0.335693798911381 0 0 -1 -2.6551724137931 -0.138671905496273
1979-10-31 0.27618364116095 0.330720213094452 0 0 -1 -2.82758620689655 -0.142175249783964
1979-11-01 0.265355145118734 0.325772193860735 0 0 -2 -3 -0.168200262906613
1979-11-02 0.276069656992084 0.320802941240193 0 0 1 -3.33333333333333 -0.465142784353859
1979-11-03 0.324854881266491 0.316850756727131 0 0 1 -3.66666666666667 -0.854464223841576
1979-11-04 0.27618364116095 0.314086241939847 0 0 1 -4 -1.36092790778873
1979-11-05 0.329072295514512 0.401745823299549 0 0 1 -4.33333333333333 -1.51131199914992
1979-11-06 0.809971503957784 0.579988431038133 11 1 1 -4.66666666666667 -0.854288125418839
1979-11-07 6.12699102902375 0.894850182219353 11 1 2 -5 0.445608523376833
1979-11-08 5.62637255936675 1.45247041541236 11 1 -1 -4.2 0.315669928817193
1979-11-09 4.27235461741425 2.4935289967399 11 1 -1 -3.4 0.146677050570973
1979-11-10 3.25174036939314 3.45076640722125 11 1 -1 -2.6 -0.100424395048406
1979-11-11 2.51677044854881 3.82276065078775 11 1 -1 -1.8 -0.334382254574692
1979-11-12 1.94833139841689 3.89422204814325 11 1 -2 -1 -0.56176832105443
1979-11-13 2.28116517150396 3.47035441399769 11 1 1 -0.666666666666667 -0.401200859264206
1979-11-14 3.25322216358839 3.49474420880072 11 1 1 -0.333333333333333 -0.240633397473983
1979-11-15 3.37404538258575 3.65545723481246 11 1 2 0 -0.0800659356837589
1979-11-16 3.19007493403694 3.46506914150518 11 1 -1 0 -0.169186837478742
1979-11-17 2.53945329815303 3.43493004249747 11 1 -1 0 -0.277715169235048
1979-11-18 2.06904063324538 3.25713858698426 11 1 -1 0 -0.434762075894664
1979-11-19 1.69882005277045 3.10279305530406 11 1 -1 0 -0.538392703559977
1979-11-20 1.53274511873351 2.91297375239026 0 0 -1 0 -0.601961121979563
1979-11-21 1.53981213720317 2.70483794167643 0 0 -1 0 -0.614563618784337
1979-11-22 1.30682849604222 2.51122887080175 0 0 -1 0 -0.621388892944764
1979-11-23 1.19250237467018 2.31904798437085 0 0 -1 0 -0.644516752853923
1979-11-24 1.06575197889182 2.14183228265924 0 0 -1 0 -0.6652966453997
1979-11-25 0.959290765171504 1.98106784639752 0 0 -1 0 -0.682945914794302
1979-11-26 0.916204749340369 1.83778521673516 0 0 -1 0 -0.592674196458669
1979-11-27 1.07224907651715 1.71142900127014 3 1 -1 0 -0.459234083030942
1979-11-28 1.5828981530343 1.61357507795226 3 1 -1 0 -0.229370502062429
1979-11-29 1.4134036939314 1.53902656872765 3 1 -1 0 -0.0747625212362263
1979-11-30 1.33600844327177 1.48797504755942 3 1 -1 0 -0.108293540765802
1979-12-01 1.2649963060686 1.46046623732689 3 1 -1 0 -0.141582949416062
1979-12-02 1.21130976253298 1.44930735119945 3 1 -1 0 -0.174691149906836
1979-12-03 1.20025329815303 1.44135886684332 3 1 -1 0 -0.19826473620107
1979-12-04 1.13847387862797 1.42428067281118 3 1 -1 0 -0.221897179799352
1979-12-05 1.06894353562005 1.39280983807701 3 1 -1 0 -0.255417381418462
1979-12-06 1.01366121372032 1.34853001980543 3 1 -1 0 -0.277406672837207
1979-12-07 0.971715039577836 1.29723537120422 3 1 -1 0 -0.284021417322129
1979-12-08 0.936493931398417 1.2455231482935 0 0 -1 0 -0.294282583784652
1979-12-09 0.892382058047493 1.21478034973298 0 0 -2 0 -0.306002319038215
1979-12-10 1.19911345646438 1.22212612882183 8 1 1 -0.428571428571429 0.00282980760202396
1979-12-11 2.26543535620053 1.27482819731952 8 1 1 -0.857142857142857 0.419011524411047
1979-12-12 2.93509234828496 1.40961369702446 8 1 1 -1.28571428571429 0.388732553499765
1979-12-13 3.00804221635884 1.71448387589459 8 1 1 -1.71428571428571 0.0693064476918187
1979-12-14 2.83581213720317 2.28347225555965 8 1 1 -2.14285714285714 -0.198021864056862
1979-12-15 4.634254353562 2.97089391068119 8 1 1 -2.57142857142857 -0.0850171278218943
1979-12-16 5.52891609498681 3.78015580060251 8 1 -0 -3 -0.169283796786584
1979-12-17 4.66480211081794 4.64392020882565 8 1 -0 -3 0.165540538406479
1979-12-18 6.1314364116095 5.15806673645657 8 1 2 -3 -0.055628663824663
1979-12-19 5.18878733509235 6.55141855280191 8 1 -1 -2.82352941176471 0.34256705620467
1979-12-20 4.19176781002639 3.9516186452683 8 1 -1 -2.64705882352942 0.136847686642339
1979-12-21 3.42157678100264 6.4822784638017 8 1 -1 -2.47058823529412 -0.116778070551632
1979-12-22 2.94147546174143 2.91105915183091 8 1 -1 -2.29411764705882 -0.0341977830167616
1979-12-23 2.65526121372032 4.58510143227182 8 1 -1 -2.11764705882353 -0.150751080723779
1979-12-24 2.26543535620053 3.00582577977083 8 1 -1 -1.94117647058824 -0.205727984695142
1979-12-25 1.99837044854881 3.21682602575662 8 1 -1 -1.76470588235295 -0.261719263389297
1979-12-26 1.73654881266491 2.72484413469923 8 1 -1 -1.58823529411766 -0.334186183010267
1979-12-27 1.57594511873351 2.55766379966992 8 1 -1 -1.41176470588234 -0.372225665316341
1979-12-28 1.54938680738786 2.3781415279077 8 1 -1 -1.23529411764705 -0.339744238982195
1979-12-29 1.58517783641161 2.24170408262671 8 1 -1 -1.05882352941176 -0.30437756852047
1979-12-30 1.49843588390501 2.10870349297371 8 1 -1 -0.882352941176469 -0.288549959593814
1979-12-31 1.38752928759894 1.98129252429146 8 1 -1 -0.705882352941178 -0.30946187217962
1980-01-01 1.27685065963061 1.85870617779711 8 1 -1 -0.529411764705877 -0.334374771018467
1980-01-02 1.19090659630607 1.74287493181325 8 1 -1 -0.352941176470582 -0.345284060543124
1980-01-03 1.14383113456464 1.63576520525667 8 1 -1 -0.176470588235291 -0.353503193547134
1980-01-04 1.08763693931398 1.59099288988307 0 0 -2 0 -0.375830915554298
1980-01-05 1.23228284960422 1.59856942607552 10 1 1 0.5 -0.19057811256178
1980-01-06 1.59007915567282 1.59024752307577 10 1 2 1 -0.00532530956926266
1980-01-07 1.4473709762533 1.56545697415986 10 1 -1 0.857142857142857 -0.0630593798619965
1980-01-08 1.39402638522427 1.52781202993782 10 1 -1 0.714285714285714 -0.106395244054228
1980-01-09 1.35185224274406 1.47954414328435 10 1 -1 0.571428571428571 -0.106536489944953
1980-01-10 1.30774036939314 1.42380696124583 10 1 -1 0.428571428571429 -0.104867200271361
1980-01-11 1.25302796833773 1.36390096986498 10 1 -1 0.285714285714286 -0.101387375033452
1980-01-12 1.17437889182058 1.30254472432779 10 1 -1 0.142857142857143 -0.110113214608381
1980-01-13 1.09789551451187 1.24167076330508 10 1 -1 0 -0.122907609120924
1980-01-14 1.00716411609499 1.18252130192479 10 1 -1 -0.142857142857143 -0.171471967541564
1980-01-15 0.882693403693931 1.12582655621223 10 1 -1 -0.285714285714286 -0.207754225297755
